econ_key_date,member_deal_ids,source_workbooks,n_rows,acquirer,target,completion_date,completion_year,subtype2,subtype3,ctrl_transfer,fin_status,pat_status,deal_event_id,Final_Classification,Classification_Confidence,Innovation_or_Commercial_Asset,Classification_Justification,Eligibility,Exclusion_Reason,InnovationDeal,is_primary_innovation,is_alternative,acquirer_group
bravo bidco||btg||2019-08-19,TRT-0006,treatment,1,Bravo Bidco Ltd,BTG Ltd,2019-08-19,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-78C1CE70,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Bravo Bidco Ltd
busy bees nurseries||the teddy bear club nursery||2016-09-19,CTL-0151,control,1,Busy Bees Nurseries Ltd,The Teddy Bear Club Nursery,2016-09-19,2016,Acquisition,Majority Acquisition,Review - majority,Complete,Not collected,EVT-E0AB38CD,Ineligible transaction,High,Childcare nursery services (out of sector),"Busy Bees acquires Teddy Bear Club Nursery — childcare services, outside the pharmaceutical/biotech sector scope. Ineligible.",Ineligible,Sector-scope or minority (see classification),0,0,0,Busy Bees Nurseries Ltd
c4x discovery||adorial||2016-03-01,CTL-0175,control,1,C4X Discovery Holdings Limited,Adorial Ltd,2016-03-01,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-31C70D4F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,C4X Discovery Holdings Limited
cadila sweden||biochromix newco||2014-10-02,TRT-0033,treatment,1,Cadila Pharmaceuticals Sweden AB,BioChromix NewCo AB,2014-10-02,2014,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-2F495680,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Cadila Pharmaceuticals Sweden AB
calliditas therapeutics france||calliditas therapeutics france calliditas therapeutics france||2017-02-28,TRT-0019,treatment,1,Calliditas Therapeutics France SAS,Calliditas Therapeutics France SAS; Calliditas Therapeutics France SAS,2017-02-28,2017,Merger,,Review - merger,Not collected,Not collected,EVT-0B3A18AB,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,"Broader (merger, surviving entity)",,0,0,0,Calliditas Therapeutics France SAS
canopy growth||beckley canopy therapeutics||2019-10-15,CTL-0042,control,1,Canopy Growth Corp,Beckley Canopy Therapeutics Ltd,2019-10-15,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-55D6C790,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Canopy Growth Corp
care uk||care uk uksh||2013-02-21,CTL-0289,control,1,Care UK Ltd,Care Uk (UKSH) Ltd,2013-02-21,2013,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-471FA9F5,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Care UK Ltd
carefusion||it s interventional||2012-06-07,CTL-0303,control,1,CareFusion Corp,It’s Interventional Ltd,2012-06-07,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-A9EC439F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,CareFusion Corp
cell medica||delenex therapeutics inactive||2016-07-12,CTL-0157,control,1,Cell Medica Limited,Delenex Therapeutics AG (Inactive),2016-07-12,2016,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-2E901FFA,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Cell Medica Limited
cfao||missionpharma||2012-07-18,CTL-0300,control,1,CFAO SA,Missionpharma AS,2012-07-18,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-4F4EB61E,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,CFAO SA
charles river laboratories international||argenta discovery 2009 inactive biofocus dpi||2014-03-31,CTL-0262,control,1,"Charles River Laboratories International, Inc.",Argenta Discovery 2009 Ltd (Inactive); BioFocus DPI Limited,2014-03-31,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-BA86463E,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Charles River Laboratories International, Inc."
charles river laboratories international||citoxlab||2019-04-29,CTL-0059,control,1,Charles River Laboratories International Inc,CiToxLAB Group,2019-04-29,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-7BB4B0E7,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Charles River Laboratories International Inc
charles river laboratories international||kws biotest||2018-01-11,CTL-0097,control,1,Charles River Laboratories International Inc,KWS BioTest Ltd,2018-01-11,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-7A41CAF3,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Charles River Laboratories International Inc
charles river laboratories international||oncotest||2015-11-18,CTL-0191,control,1,"Charles River Laboratories International, Inc.",Oncotest GmbH,2015-11-18,2015,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-42742E3A,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Charles River Laboratories International, Inc."
chilcott uk||poa scandinavia||2020-01-08,CTL-0027,control,1,Chilcott UK Ltd,POA Pharma Scandinavia AB,2020-01-08,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-5E9A51EB,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Chilcott UK Ltd
china grand enterprises huadong medicine||sinclair||2018-11-19,CTL-0076,control,1,"China Grand Enterprises, Inc.; Huadong Medicine Co Ltd",Sinclair Pharma Ltd,2018-11-19,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-549EB4B2,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,"China Grand Enterprises, Inc.; Huadong Medicine Co Ltd"
chinook therapeutics||bionovion b v||2015-10-30,TRT-0028,treatment,1,Chinook Therapeutics Inc,BioNovion Holding B.V.,2015-10-30,2015,Acquisition,100% Acquisition,Eligible - 100%,Partial,Partial event window — 4/7 years covered,EVT-7B0CE9F3,High-confidence innovation-driven,High,Monoclonal-antibody discovery platform + preclinical checkpoint assets,Aduro acquires BioNovion to expand immunotherapy capabilities to monoclonal antibodies incl. preclinical assets inhibiting validated checkpoint pathways. R&D capability + pipeline central.,Strict (100%),,1,1,0,Aduro/Chinook
cilag international||covagen inactive||2014-08-25,CTL-0251,control,1,Cilag GmbH International,Covagen AG (Inactive),2014-08-25,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-77F1841C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Cilag GmbH International
circio asa||targovax inactive circio asa||2015-07-02,CTL-0211,control,1,Circio Holding ASA,Targovax Oy (Inactive); Circio Holding ASA,2015-07-02,2015,Merger,,Review - merger,Not collected,Not collected,EVT-820E8D97,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,"Broader (merger, surviving entity)",,0,0,0,Circio Holding ASA
clinigen||iqone healthcare switzerland||2018-10-09,CTL-0072,control,1,Clinigen Ltd,iQone Healthcare Switzerland,2018-10-09,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-3025942C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Clinigen Ltd
clinigen||quantum||2017-11-01,CTL-0126,control,1,Clinigen Ltd,Quantum Pharmaceutical Ltd,2017-11-01,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-6329E4B0,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Clinigen Ltd
coc farmaceutici||tubilux||2020-10-01,CTL-0009,control,1,COC Farmaceutici Srl,Tubilux Pharma SpA,2020-10-01,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-876ACED6,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,COC Farmaceutici Srl
concept life sciences||aquila biomedical||2017-10-30,CTL-0108,control,1,Concept Life Sciences Ltd,Aquila BioMedical Ltd,2017-10-30,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-028DE2BC,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Concept Life Sciences Ltd
correvio||correvio international sarl||2013-11-18,TRT-0036,treatment,1,Correvio Pharma Corp.,Correvio International Sarl,2013-11-18,2013,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-3AF96138,Alternative-rationale,High,European commercial platform + distribution for BRINAVESS (Correvio),"Cardiome acquires Correvio for an operational European commercial platform, global distribution and complementary products to launch BRINAVESS. Commercial/distribution. (Screen false positive.)",Strict (100%),,0,0,1,Correvio Pharma Corp.
creat||bio products laboratory||2016-08-02,CTL-0166,control,1,Creat Group Corp,Bio Products Laboratory Ltd,2016-08-02,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-4A79CF74,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Creat Group Corp
curia global||gadea grupo farmaceutico sl||2015-07-16,CTL-0205,control,1,Curia Global Inc,Gadea Grupo Farmaceutico SL,2015-07-16,2015,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-574B6BDE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Curia Global Inc
curida||produksjonslab||2018-01-03,CTL-0100,control,1,Curida AS,As Produksjonslab AS,2018-01-03,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-75242BFF,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Curida AS
curium france||map medical technologies||2019-12-02,CTL-0030,control,1,Curium Holding France SAS,MAP Medical Technologies Oy,2019-12-02,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-803D506D,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Curium Holding France SAS
deinove||morphochem biovertis||2018-05-23,CTL-0088,control,1,Deinove SAS,Morphochem AG; Biovertis AG,2018-05-23,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-F19A0329,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Deinove SAS
delivra health brands||satipharm united greeneries||2017-04-27,CTL-0147,control,1,Delivra Health Brands Inc,Satipharm AG; United Greeneries Holdings Ltd,2017-04-27,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-9EF1F397,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Delivra Health Brands Inc
dermapharm se||allergopharma kg||2020-03-31,CTL-0025,control,1,Dermapharm Holding SE,Allergopharma GmbH & Co KG,2020-03-31,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-99C6A82A,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Dermapharm Holding SE
dermapharm||axicorp||2012-06-21,CTL-0301,control,1,Dermapharm AG,axicorp GmbH,2012-06-21,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-5D0C5D28,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Dermapharm AG
dermapharm||strathmann kg||2018-01-04,CTL-0099,control,1,Dermapharm AG,Strathmann GmbH & Co KG,2018-01-04,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-E178449A,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Dermapharm AG
diamyd medical||nextcell||2017-03-09,CTL-0137,control,1,Diamyd Medical AB,NextCell Pharma AB,2017-03-09,2017,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-F14E1E09,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Diamyd Medical AB
dsm firmenich||biocare copenhagen||2017-12-22,CTL-0102,control,1,DSM-Firmenich AG,Biocare Copenhagen AS,2017-12-22,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-3BC97C16,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,DSM-Firmenich AG
emeis||groupe sinoue||2019-09-24,CTL-0040,control,1,Emeis SA,Groupe Sinoue,2019-09-24,2019,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-89AFEDB6,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Emeis SA
emergent biosolutions||adapt||2018-10-15,CTL-0077,control,1,Emergent BioSolutions Inc,Adapt Pharma Ltd,2018-10-15,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-17457F43,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Emergent BioSolutions Inc
emmes||neox||2020-12-30,CTL-0001,control,1,Emmes Corp,Neox sro,2020-12-30,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-A36C3881,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Emmes Corp
enara||angel care services uk||2012-07-20,TRT-0041,treatment,1,Enara Limited,Angel Care Services UK Ltd,2012-07-20,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-1E3BB8DE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Enara Limited
ergomed||ergomed||2017-10-02,CTL-0118,control,1,Ergomed Group Ltd,Ergomed BV,2017-10-02,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-30CE8599,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Ergomed Group Ltd
esteve||esteve||2020-02-07,TRT-0044,treatment,1,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,2020-02-07,2020,Acquisition,100% Acquisition,Eligible - 100%,Partial,Partial event window — 5/7 years covered,EVT-105D176F,Alternative-rationale,High,Specialty/OTC product portfolio + manufacturing + hospital-market access (Riemser),"Esteve acquires Riemser for a specialty product portfolio, a production facility and hospital-market access ('transformation into specialty pharma'). Commercial/manufacturing/market-access. (Screen false positive.)",Strict (100%),,0,0,1,Esteve Pharmaceuticals SA
ethypharm s a||ethypharm uk||2015-10-01,CTL-0198,control,1,Ethypharm S.A,Ethypharm UK Ltd,2015-10-01,2015,Acquisition,100% Acquisition,Eligible - 100%,Partial,Complete event window — 7/7 years covered,EVT-CAB0E0C4,Alternative-rationale,High,UK commercial presence for CNS products (DB Ashbourne),Ethypharm acquires DB Ashbourne to build a direct commercial presence in Europe for CNS products. Commercial/geographic.,Strict (100%),,0,0,1,Ethypharm S.A
eurobio scientific||dendritics||2018-07-16,CTL-0081,control,1,Eurobio Scientific SA,Dendritics,2018-07-16,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-7B81B06D,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Eurobio Scientific SA
eurocept||lucane||2017-10-20,CTL-0113,control,1,Eurocept Pharmaceuticals,Lucane Pharma SA,2017-10-20,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-FE6A4C65,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Eurocept Pharmaceuticals
eurofins scientific se||aros applied biotechnology||2013-02-21,TRT-0039,treatment,1,Eurofins Scientific SE,AROS Applied Biotechnology AS,2013-02-21,2013,Acquisition,Majority Acquisition,Review - majority,Complete,Insufficient event-window coverage,EVT-987DB496,Alternative-rationale,Medium,Contract genomic-testing services + Nordic footprint (AROS),"Eurofins acquires AROS to reinforce its testing-services position, expand genomic-services footprint into the Nordics, and leverage scale. Services/scale/geographic dominate. (Screen false positive.)",Broader (majority control-transfer),,0,0,1,Eurofins Scientific SE
eurofins scientific se||eurofins selcia||2018-01-25,CTL-0095,control,1,Eurofins Scientific SE,Eurofins Selcia Ltd,2018-01-25,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-BA07C9B6,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Eurofins Scientific SE
ever neuro||ever||2019-05-06,CTL-0050,control,1,EVER Neuro Pharma GmbH,EVER Pharma GmbH,2019-05-06,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-BBB16B30,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,EVER Neuro Pharma GmbH
ever neuro||pharmagen cz||2017-10-23,CTL-0112,control,1,EVER Neuro Pharma GmbH,"PHARMAGEN CZ, sro",2017-10-23,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-C60A30DD,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,EVER Neuro Pharma GmbH
evotec se||evotec uk||2014-05-31,CTL-0254,control,1,Evotec SE,Evotec (UK) Ltd,2014-05-31,2014,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-85CC2A02,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Evotec SE
evotec se||exscientia||2017-09-28,CTL-0117,control,1,Evotec SE,Exscientia Plc,2017-09-28,2017,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-FE11E9C9,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Evotec SE
f hoffmann la roche||trophos||2015-03-03,CTL-0234,control,1,F. Hoffmann-La Roche Ltd,Trophos SA,2015-03-03,2015,Acquisition,100% Acquisition,Eligible - 100%,Complete,Complete event window — 7/7 years covered,EVT-9C1990C9,High-confidence innovation-driven,High,Neurodegeneration pipeline: Phase I TRO40303 + preclinical assets (Trophos),Roche acquires Trophos for its neuromuscular pipeline (Phase I TRO40303 + preclinical) to develop SMA medicines. Pipeline central. (Screen false negative.),Strict (100%),,1,1,0,Roche
f hoffmann la roche||tusk therapeutics||2018-09-28,CTL-0071,control,1,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,2018-09-28,2018,Acquisition,100% Acquisition,Eligible - 100%,Complete,Complete event window — 7/7 years covered,EVT-1955B15F,High-confidence innovation-driven,High,Novel Treg-depleting antibody in preclinical development (Tusk),Roche acquires Tusk to develop its novel antibody (regulatory T-cell depletion). Pipeline asset central. (Screen false negative.),Strict (100%),,1,1,0,Roche
flash therapeutics||vectalys inactive flashcell inactive||2018-05-16,CTL-0086,control,1,Flash Therapeutics SAS,Vectalys SAS (Inactive); FlashCell SAS (Inactive),2018-05-16,2018,Merger,,Review - merger,Not collected,Not collected,EVT-86C5A526,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,"Broader (merger, surviving entity)",,0,0,0,Flash Therapeutics SAS
fosun||tridem||2017-12-13,CTL-0110,control,1,Fosun Pharmaceutical AG,Tridem Pharma,2017-12-13,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-0E4FBF23,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Fosun Pharmaceutical AG
fuhrer family||neovii biotech||2013-06-28,CTL-0282,control,1,Fuhrer Family,Neovii Biotech GmbH,2013-06-28,2013,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-B5B51633,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Fuhrer Family
fuji||alvotech||2018-12-17,CTL-0065,control,1,Fuji Pharma Co Ltd,Alvotech SA,2018-12-17,2018,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-CA9C210A,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Fuji Pharma Co Ltd
futurelife a s||gyncentrum s r o||2014-05-26,CTL-0255,control,1,FutureLife a.s,"Gyncentrum, S.R.O.",2014-05-26,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-CA4DACC7,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,FutureLife a.s
gammadelta therapeutics||lymphocyte activation technologies||2018-06-05,CTL-0085,control,1,GammaDelta Therapeutics Ltd,Lymphocyte Activation Technologies SA,2018-06-05,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-7160F863,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,GammaDelta Therapeutics Ltd
genesis care pty||oncosur||2016-10-25,CTL-0148,control,1,Genesis Care Pty Ltd,OncoSur Group,2016-10-25,2016,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-A21CDE5B,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Genesis Care Pty Ltd
genoway||axenis||2017-09-25,CTL-0119,control,1,genOway SA,AXENIS SAS,2017-09-25,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-AA4A50BC,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,genOway SA
groupe synerlab||synerlab||2015-11-20,CTL-0189,control,1,GROUPE SYNERLAB,Synerlab Group,2015-11-20,2015,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-57932312,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,GROUPE SYNERLAB
gsk||glycovaxyn inactive||2015-02-11,CTL-0229,control,1,GSK plc,GlycoVaxyn AG (Inactive),2015-02-11,2015,Acquisition,Majority Acquisition,Review - majority,Complete,Complete event window — 7/7 years covered,EVT-7C587316,High-confidence innovation-driven,High,Bioconjugation vaccine platform + early-stage bacterial-vaccine pipeline (GlycoVaxyn),GSK acquires remaining stake in GlycoVaxyn to develop a new generation of bacterial-infection vaccines; early-stage pipeline central. (Screen false negative.),Broader (majority control-transfer),,1,1,0,GSK
