src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families
control,CTL-0107,Vaxart Inc.,2018,0,Inferred from observed earliest-priority-year range,0,EVT-65D701BB,2018,0,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.0
control,CTL-0107,Vaxart Inc.,2019,0,Inferred from observed earliest-priority-year range,0,EVT-65D701BB,2018,1,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.0
control,CTL-0107,Vaxart Inc.,2020,1,Inferred from observed earliest-priority-year range,1,EVT-65D701BB,2018,2,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.881373587019543
control,CTL-0107,Vaxart Inc.,2021,1,Inferred from observed earliest-priority-year range,1,EVT-65D701BB,2018,3,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.881373587019543
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2016,3,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,-2,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,1.8184464592320668
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2017,1,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,-1,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.881373587019543
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2018,2,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,0,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,1.4436354751788103
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2019,0,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,1,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2020,0,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,2,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2021,1,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,3,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.881373587019543
control,CTL-0038,Zentiva Group AS,2011,2,Inferred from observed earliest-priority-year range,1,EVT-7AADF525,2020,-9,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,1.4436354751788103
control,CTL-0038,Zentiva Group AS,2012,3,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-8,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,1.8184464592320668
control,CTL-0038,Zentiva Group AS,2013,3,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-7,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,1.8184464592320668
control,CTL-0038,Zentiva Group AS,2014,3,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-6,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,1.8184464592320668
control,CTL-0038,Zentiva Group AS,2015,3,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-5,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,1.8184464592320668
control,CTL-0038,Zentiva Group AS,2016,1,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-4,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,0.881373587019543
control,CTL-0038,Zentiva Group AS,2017,0,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-3,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,0.0
control,CTL-0038,Zentiva Group AS,2018,0,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-2,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,0.0
control,CTL-0038,Zentiva Group AS,2019,0,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,-1,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,0.0
control,CTL-0038,Zentiva Group AS,2020,1,Inferred from observed earliest-priority-year range,0,EVT-7AADF525,2020,0,Zentiva Group AS,LaborMed Pharma SA,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0038,0.881373587019543
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2015,2,Inferred from observed priority-year range,3,EVT-7B0CE9F3,2015,0,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,1.4436354751788103
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2016,1,Inferred from observed priority-year range,0,EVT-7B0CE9F3,2015,1,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,0.881373587019543
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2017,2,Inferred from observed priority-year range,0,EVT-7B0CE9F3,2015,2,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,1.4436354751788103
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2018,1,Inferred from observed priority-year range,0,EVT-7B0CE9F3,2015,3,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,0.881373587019543
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2019,2,Inferred from observed priority-year range,5,EVT-7B0CE9F3,2015,4,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,1.4436354751788103
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2020,4,Inferred from observed priority-year range,5,EVT-7B0CE9F3,2015,5,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,2.0947125472611012
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2021,2,Inferred from observed priority-year range,1,EVT-7B0CE9F3,2015,6,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,1.4436354751788103
treatment,TRT-0028,Chinook Therapeutics / Aduro BioTech,2022,1,Inferred from observed priority-year range,0,EVT-7B0CE9F3,2015,7,Chinook Therapeutics Inc,BioNovion Holding B.V.,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0028,0.881373587019543
control,CTL-0229,GSK PLC,2011,1,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,-4,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,0.881373587019543
control,CTL-0229,GSK PLC,2012,0,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,-3,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,0.0
control,CTL-0229,GSK PLC,2013,7,Inferred from observed earliest-priority-year range,37,EVT-7C587316,2015,-2,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,2.644120761058629
control,CTL-0229,GSK PLC,2014,1,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,-1,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,0.881373587019543
control,CTL-0229,GSK PLC,2015,2,Inferred from observed earliest-priority-year range,1,EVT-7C587316,2015,0,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,1.4436354751788103
control,CTL-0229,GSK PLC,2016,6,Inferred from observed earliest-priority-year range,18,EVT-7C587316,2015,1,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,2.4917798526449118
control,CTL-0229,GSK PLC,2017,2,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,2,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,1.4436354751788103
control,CTL-0229,GSK PLC,2018,2,Inferred from observed earliest-priority-year range,9,EVT-7C587316,2015,3,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,1.4436354751788103
control,CTL-0229,GSK PLC,2019,8,Inferred from observed earliest-priority-year range,40,EVT-7C587316,2015,4,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,2.7764722807237177
control,CTL-0229,GSK PLC,2020,0,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,5,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,0.0
control,CTL-0229,GSK PLC,2021,1,Inferred from observed earliest-priority-year range,0,EVT-7C587316,2015,6,GSK plc,GlycoVaxyn AG (Inactive),High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0229,0.881373587019543
control,CTL-0230,Roche Holding AG,2011,23,Inferred from observed earliest-priority-year range,688,EVT-8E275CCB,2015,-4,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,3.8291136516208812
control,CTL-0230,Roche Holding AG,2012,16,Inferred from observed earliest-priority-year range,149,EVT-8E275CCB,2015,-3,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,3.466711037884725
control,CTL-0230,Roche Holding AG,2013,6,Inferred from observed earliest-priority-year range,209,EVT-8E275CCB,2015,-2,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,2.4917798526449118
control,CTL-0230,Roche Holding AG,2014,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,-1,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2015,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,0,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2016,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,1,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2017,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,2,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2018,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,3,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2019,1,Inferred from observed earliest-priority-year range,4,EVT-8E275CCB,2015,4,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.881373587019543
control,CTL-0230,Roche Holding AG,2020,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,5,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2021,1,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,6,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.881373587019543
control,CTL-0230,Roche Holding AG,2022,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,7,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0
control,CTL-0230,Roche Holding AG,2023,3,Inferred from observed earliest-priority-year range,1,EVT-8E275CCB,2015,8,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,1.8184464592320668
control,CTL-0230,Roche Holding AG,2024,3,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,9,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,1.8184464592320668
treatment,TRT-0039,Eurofins Scientific,2018,1,Inferred from observed priority-year range,1,EVT-987DB496,2013,5,Eurofins Scientific SE,AROS Applied Biotechnology AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,TRT-0039,0.881373587019543
control,CTL-0234,Roche Holding AG,2011,23,Inferred from observed earliest-priority-year range,688,EVT-9C1990C9,2015,-4,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,3.8291136516208812
control,CTL-0234,Roche Holding AG,2012,16,Inferred from observed earliest-priority-year range,149,EVT-9C1990C9,2015,-3,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,3.466711037884725
control,CTL-0234,Roche Holding AG,2013,6,Inferred from observed earliest-priority-year range,209,EVT-9C1990C9,2015,-2,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,2.4917798526449118
control,CTL-0234,Roche Holding AG,2014,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,-1,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2015,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,0,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2016,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,1,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2017,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,2,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2018,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,3,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2019,1,Inferred from observed earliest-priority-year range,4,EVT-9C1990C9,2015,4,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.881373587019543
control,CTL-0234,Roche Holding AG,2020,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,5,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2021,1,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,6,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.881373587019543
control,CTL-0234,Roche Holding AG,2022,0,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,7,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,0.0
control,CTL-0234,Roche Holding AG,2023,3,Inferred from observed earliest-priority-year range,1,EVT-9C1990C9,2015,8,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,1.8184464592320668
control,CTL-0234,Roche Holding AG,2024,3,Inferred from observed earliest-priority-year range,0,EVT-9C1990C9,2015,9,F. Hoffmann-La Roche Ltd,Trophos SA,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0234,1.8184464592320668
control,CTL-0055,Zentiva Group AS,2011,2,Inferred from observed earliest-priority-year range,1,EVT-A208BBB7,2019,-8,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,1.4436354751788103
control,CTL-0055,Zentiva Group AS,2012,3,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-7,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,1.8184464592320668
control,CTL-0055,Zentiva Group AS,2013,3,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-6,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,1.8184464592320668
control,CTL-0055,Zentiva Group AS,2014,3,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-5,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,1.8184464592320668
control,CTL-0055,Zentiva Group AS,2015,3,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-4,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,1.8184464592320668
control,CTL-0055,Zentiva Group AS,2016,1,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-3,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,0.881373587019543
control,CTL-0055,Zentiva Group AS,2017,0,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-2,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,0.0
control,CTL-0055,Zentiva Group AS,2018,0,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,-1,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,0.0
control,CTL-0055,Zentiva Group AS,2019,0,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,0,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,0.0
control,CTL-0055,Zentiva Group AS,2020,1,Inferred from observed earliest-priority-year range,0,EVT-A208BBB7,2019,1,Zentiva Group AS,Creo Pharma Ltd (Inactive),Alternative-rationale,Medium,Strict (100%),0,0,1,CTL-0055,0.881373587019543
treatment,TRT-0038,GSK,2011,1,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,-2,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.881373587019543
treatment,TRT-0038,GSK,2012,0,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,-1,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.0
treatment,TRT-0038,GSK,2013,7,Inferred from observed priority-year range,37,EVT-C0FD3AA5,2013,0,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,2.644120761058629
treatment,TRT-0038,GSK,2014,1,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,1,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.881373587019543
treatment,TRT-0038,GSK,2015,2,Inferred from observed priority-year range,1,EVT-C0FD3AA5,2013,2,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,1.4436354751788103
treatment,TRT-0038,GSK,2016,6,Inferred from observed priority-year range,18,EVT-C0FD3AA5,2013,3,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,2.4917798526449118
treatment,TRT-0038,GSK,2017,2,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,4,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,1.4436354751788103
treatment,TRT-0038,GSK,2018,2,Inferred from observed priority-year range,9,EVT-C0FD3AA5,2013,5,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,1.4436354751788103
treatment,TRT-0038,GSK,2019,8,Inferred from observed priority-year range,40,EVT-C0FD3AA5,2013,6,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,2.7764722807237177
treatment,TRT-0038,GSK,2020,0,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,7,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.0
treatment,TRT-0038,GSK,2021,1,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,8,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.881373587019543
control,CTL-0198,Ethypharm SAS,2011,1,Inferred from observed earliest-priority-year range,1,EVT-CAB0E0C4,2015,-4,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.881373587019543
control,CTL-0198,Ethypharm SAS,2012,3,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,-3,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,1.8184464592320668
control,CTL-0198,Ethypharm SAS,2013,1,Inferred from observed earliest-priority-year range,3,EVT-CAB0E0C4,2015,-2,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.881373587019543
control,CTL-0198,Ethypharm SAS,2014,1,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,-1,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.881373587019543
control,CTL-0198,Ethypharm SAS,2015,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,0,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0
control,CTL-0198,Ethypharm SAS,2016,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,1,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0
control,CTL-0198,Ethypharm SAS,2017,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,2,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0
control,CTL-0198,Ethypharm SAS,2018,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,3,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0
control,CTL-0198,Ethypharm SAS,2019,2,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,4,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,1.4436354751788103
control,CTL-0005,UCB SA,2011,13,Inferred from observed earliest-priority-year range,30,EVT-F32E3250,2020,-9,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.2595725562629214
control,CTL-0005,UCB SA,2012,24,Inferred from observed earliest-priority-year range,118,EVT-F32E3250,2020,-8,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.8716347563877314
control,CTL-0005,UCB SA,2013,34,Inferred from observed earliest-priority-year range,13,EVT-F32E3250,2020,-7,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,4.219723898031069
control,CTL-0005,UCB SA,2014,24,Inferred from observed earliest-priority-year range,41,EVT-F32E3250,2020,-6,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.8716347563877314
control,CTL-0005,UCB SA,2015,42,Inferred from observed earliest-priority-year range,71,EVT-F32E3250,2020,-5,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,4.430958492080543
control,CTL-0005,UCB SA,2016,26,Inferred from observed earliest-priority-year range,13,EVT-F32E3250,2020,-4,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.9516133360820653
control,CTL-0005,UCB SA,2017,27,Inferred from observed earliest-priority-year range,107,EVT-F32E3250,2020,-3,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.989326805819546
control,CTL-0005,UCB SA,2018,15,Inferred from observed earliest-priority-year range,5,EVT-F32E3250,2020,-2,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.4023066454805946
control,CTL-0005,UCB SA,2019,18,Inferred from observed earliest-priority-year range,26,EVT-F32E3250,2020,-1,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.584289651861328
control,CTL-0005,UCB SA,2020,25,Inferred from observed earliest-priority-year range,7,EVT-F32E3250,2020,0,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.9124227656412556
control,CTL-0005,UCB SA,2021,17,Inferred from observed earliest-priority-year range,2,EVT-F32E3250,2020,1,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.5272244561999657
control,CTL-0005,UCB SA,2022,5,Inferred from observed earliest-priority-year range,0,EVT-F32E3250,2020,2,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,2.3124383412727525
control,CTL-0005,UCB SA,2023,0,Inferred from observed earliest-priority-year range,0,EVT-F32E3250,2020,3,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,0.0
control,CTL-0005,UCB SA,2024,1,Inferred from observed earliest-priority-year range,0,EVT-F32E3250,2020,4,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,0.881373587019543
