deal_event_id,member_deal_ids,acquirer,target,acquirer_group,completion_year,Final_Classification,Eligibility,ambiguous_flag
EVT-70670613,CTL-0226,LivaNova Plc,Sorin S.p.A. (Inactive); LivaNova USA Inc,LivaNova Plc,2015,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-EF84968D,TRT-0021,Martindale Pharma,Viridian Pharma Ltd,Martindale Pharma,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-8C039B4E,CTL-0269;CTL-0270,MediGene AG,Medigene Immunotherapies GmbH,MediGene AG,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-C8E713EF,CTL-0018,Mediolanum farmaceutici SpA,Elsalys Biotech SA,Mediolanum farmaceutici SpA,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-8831DEE3,TRT-0017,Mediolanum farmaceutici SpA,Therabel Pharma SA,Mediolanum farmaceutici SpA,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-287D3F4B,CTL-0039,MeiraGTx Holdings Plc,Arthrogen BV,MeiraGTx Holdings Plc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-C4E90A05,CTL-0004,Mendus AB,DC Prime BV,Mendus AB,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-491D983A,CTL-0279,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Merz Pharma GmbH & Co. KGaA,2013,Alternative-rationale,Broader (majority control-transfer),False
EVT-809BF070,CTL-0219,Mikhail Mogutov,Incuron,Mikhail Mogutov,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-05F75667,CTL-0061,Minaris Regenerative Medicine LLC,Minaris Regenerative Medicine GmbH,Minaris Regenerative Medicine LLC,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-898C778D,CTL-0104,MindWalk Holdings Corp,Modiquest Research BV; Immulease BV,MindWalk Holdings Corp,2018,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-5394AB06,CTL-0267,Minerva Neurosciences Inc,Mind-NRG SA,Minerva Neurosciences Inc,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B25D93F8,CTL-0259,Morood Invest LLC,Care Oncology Clinic,Morood Invest LLC,2014,Insufficient evidence (not data-carrying),Ineligible,False
EVT-3B7EA6CE,CTL-0069,Mundipharma International Ltd,Mundipharma Biologics SL,Mundipharma International Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4CF0FBD1,CTL-0225,Myriad Genetics Inc,Privatklinik Dr Robert Schindlbeck GmbH & Co KG,Myriad Genetics Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-E063A4B9,CTL-0176,N4 Pharma Plc,N4 Pharma UK Ltd,N4 Pharma Plc,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-67AD81DF,CTL-0043,NEC Corp,NEC OncoImmunity AS,NEC Corp,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-68118A54,CTL-0036,Neopharmed Gentili SpA,MDM SpA,Neopharmed Gentili SpA,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-3A7E2551,CTL-0060,Neuraxpharm UK Ltd,Neuraxpharm Bohemia sro,Neuraxpharm UK Ltd,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-81B7365A,CTL-0082,Neuraxpharm UK Ltd,Neuraxpharm France SAS,Neuraxpharm UK Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox SA,2014,Alternative-rationale,Strict (100%),False
EVT-A0C68079,CTL-0215,NIOX Group plc,Circassia AB,NIOX Group plc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-493AE6F7,CTL-0214,NIOX Group plc,Prosonix Ltd (Inactive),NIOX Group plc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-8132A2A4,CTL-0163,NMC Health Plc,Copenhagen Fertility Center Holding Aps,NMC Health Plc,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-2580E8B7,CTL-0024,Norgine BV,Azanta A/S,Norgine BV,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-55F3E53B,CTL-0109,Novartis AG,Advanced Accelerator Applications SA,Novartis AG,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-45A76A5C,CTL-0016,Novavax Inc,Novavax CZ,Novavax Inc,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4546A956,CTL-0306,NovaVision Inc,Sight Science Limited,NovaVision Inc,2012,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-75668D11,CTL-0209,NovoTek Group,Bioton SA,NovoTek Group,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-42B3FBFD,CTL-0120,Nuformix Plc,Nuformix Plc,Nuformix Plc,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-4EAA72F7,CTL-0130,NuPharm Italy SpA,FB Health SpA,NuPharm Italy SpA,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-7C5D7423,CTL-0227,Nxera Pharma Co Ltd,Heptares Therapeutics Ltd,Nxera Pharma Co Ltd,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-FB6A2F96,CTL-0197,Omnicare Holding GmbH & Co KG,Omnicare Holding GmbH & Co KG; Megapharm GmbH,Omnicare Holding GmbH & Co KG,2015,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-48B06FAC,CTL-0286,OPKO Health Inc,Pharmsynthez,OPKO Health Inc,2013,Insufficient evidence (not data-carrying),Ineligible,False
EVT-5F2D30A1,CTL-0084,Orion Biotechnology Canada Ltd,K2 Biomedical Sp. z o.o.,Orion Biotechnology Canada Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-29208BA4,CTL-0236,Orkla ASA,Orkla Wound Care AB,Orkla ASA,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F6FD7A3E,CTL-0235,Orkla Home & Personal Care AS,Cederroth AB,Orkla Home & Personal Care AS,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-45EC799E,CTL-0023,Ovoca Bio Plc,Ivix Ltd,Ovoca Bio Plc,2020,Insufficient evidence (not data-carrying),Ineligible,False
EVT-876981C7,CTL-0266,Oxford Gene Technology Ltd,Cytocell Ltd,Oxford Gene Technology Ltd,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-C81C2C65,CTL-0217,PelGar International Ltd,Agropharm Ltd,PelGar International Ltd,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-367BC7C3,CTL-0091,Perfect Concept Holdings Ltd,China Oncology Focus Ltd,Perfect Concept Holdings Ltd,2018,Insufficient evidence (not data-carrying),Ineligible,False
EVT-7BFBAAB9,CTL-0280,Perrigo Company plc,"Elan Corporation, plc",Perrigo Company plc,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-6DCE4508,CTL-0243,Perrigo Company plc,Omega Pharma NV,Perrigo Company plc,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-53676CCA,TRT-0003,Pfizer Inc,Therachon AG (Inactive),Pfizer Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-89769EB2,CTL-0057,Pfizer Inc,Vivet Therapeutics SAS,Pfizer Inc,2019,Insufficient evidence (not data-carrying),Ineligible,False
EVT-CDF3BC14,CTL-0152,Pharmstandard-Leksredstva,OTCPharm,Pharmstandard-Leksredstva,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-16F4D866,CTL-0285,Pharmstandard,Biolik JSC,Pharmstandard,2013,Insufficient evidence (not data-carrying),Ineligible,False
EVT-AFCAB7F4,CTL-0162,Polpharma SA,Polpharma Biologics Utrecht BV,Polpharma SA,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-EA1988B3,CTL-0232,PPF Group NV; SOTIO Biotech AS,Cytune Pharma SAS,PPF Group NV; SOTIO Biotech AS,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-E8E3EE04,CTL-0260,PPF AS,Oribase Pharma,PPF AS,2014,Insufficient evidence (not data-carrying),Ineligible,False
EVT-3263B088,CTL-0208,Praktikerinvest Aktiebolag; Recipharm Venture Fund AB; The Foundation for Baltic and East European Studies,Palette Life Sciences AB,Praktikerinvest Aktiebolag; Recipharm Venture Fund AB; The Foundation for Baltic and East European Studies,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-A86B4C32,CTL-0228,Precigen Inc,ActogeniX NV,Precigen Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-172E6E4F,CTL-0116,Precision Medicine Group LLC,Epiontis GmbH,Precision Medicine Group LLC,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-72E7DA33,TRT-0035,ProductLife Group,Kohne Pharma GmbH,ProductLife Group,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-8E7C8DE3,CTL-0090,Promethera Biosciences SA,Baliopharm AG,Promethera Biosciences SA,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-170D719C,CTL-0220,Quantum Pharmaceutical Ltd,Lamda Laboratories SA; Lamda Pharma SA,Quantum Pharmaceutical Ltd,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-EA4754F3,CTL-0206,Quantum Pharmaceutical Ltd,NuPharm Laboratories Ltd (Inactive); NuPharm Group Limited (Inactive),Quantum Pharmaceutical Ltd,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-2D4C6B34,CTL-0298,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Recordati,2012,Alternative-rationale,Strict (100%),False
EVT-101E5ED6,CTL-0278,Recordati S.p.A.,Laboratorios Casen Fleet S.L.,Recordati,2013,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati,2018,Alternative-rationale,Strict (100%),False
EVT-AD239A0D,TRT-0026,Relief Therapeutics Holding AG; Sonnet BioTherapeutics CH SA,THERAMetrics holding AG (Inactive); Sonnet BioTherapeutics CH SA,Relief Therapeutics Holding AG; Sonnet BioTherapeutics CH SA,2016,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-C33D64C9,CTL-0188,ReproCELL Inc,Biopta Ltd,ReproCELL Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-205F431E,CTL-0051,Revvity Inc,Cisbio Bioassays,Revvity Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-26344903,CTL-0006,Revvity Inc,Horizon Discovery Group Ltd,Revvity Inc,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-6FCF505E,CTL-0257,Riemser Pharma GmbH (formerly RIEMSER Arzneimittel AG),Keocyt SA,Riemser Pharma GmbH (formerly RIEMSER Arzneimittel AG),2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-8E275CCB,CTL-0230,Roche Holding AG,Signature Diagnostics GmbH,Roche,2015,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-A4A38A71,CTL-0138,Roxall Medizin GmbH,Bial-Aristegui Italia Srl,Roxall Medizin GmbH,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-14C06B91,CTL-0080,Ryboquin Co Ltd,Nanogenic Solutions Ltd,Ryboquin Co Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-48682140,CTL-0185,S.A. Mithra pharmaceutical N.V.,Novalon SA,S.A. Mithra pharmaceutical N.V.,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-8D592F1E,CTL-0277,Safic-Alcan SA,Laserson SA,Safic-Alcan SA,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-D49407C8,CTL-0193,SalvaRx Group Plc,SalvaRx Ltd,SalvaRx Group Plc,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-8E3F1F47,CTL-0079,Sangamo Therapeutics Inc,Sangamo Therapeutics France SAS,Sangamo Therapeutics Inc,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-09182F95,TRT-0010,Sanofi,Ablynx NV,Sanofi,2018,High-confidence innovation-driven,Strict (100%),False
EVT-13A96184,CTL-0180;CTL-0181,SBI Holdings Inc,Photonamic GmbH & Co KG,SBI Holdings Inc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-7EAAD89A,CTL-0241,Schering-Plough Corp,Oncoethix GmbH (Inactive),Schering-Plough Corp,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-7EE128BE,CTL-0017,Serb SAS,Veriton Pharma Ltd,Serb SAS,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B1C72AFE,CTL-0195,Sergej Ovodov; Alexander Knoll,BioGenes GmbH,Sergej Ovodov; Alexander Knoll,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-27796271,TRT-0045,Shire plc (Inactive),Premacure AB,Shire plc (Inactive),2013,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-0EAF157B,CTL-0170,Siemens Healthineers A.G.,NEO New Oncology GmbH,Siemens Healthineers A.G.,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-B0C5E4D8,CTL-0144,Sienna Biopharmaceuticals Inc (Inactive),Creabilis plc (Inactive),Sienna Biopharmaceuticals Inc (Inactive),2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-C7672583,CTL-0253,Simbec-Orion Group Ltd,Simbec Research Ltd; ORION Clinical Services Inc,Simbec-Orion Group Ltd,2014,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-ABBFF059,CTL-0083,Sophia Genetics SA,Interactive Biosoftware SAS,Sophia Genetics SA,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-5FDD4E94,CTL-0174,Spark Therapeutics Inc,Genable Technologies Ltd,Spark Therapeutics Inc,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-9C673E8D,CTL-0094,Spectris Plc,Concept Life Sciences Ltd,Spectris Plc,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-9D1D2F3F,CTL-0008,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,Stada Arzneimittel AG,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-408D3A73,TRT-0030,Stada Arzneimittel AG,SCIOTEC Diagnostic Technologies GmbH,Stada Arzneimittel AG,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-E66CFA34,TRT-0029,Stallergenes Greer Ltd,Greer Laboratories Inc; Stallergenes SA; Stallergenes Greer Ltd,Stallergenes Greer Ltd,2015,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-FD3C5B45,CTL-0035,Stryker Corp,Wright Medical Group NV,Stryker Corp,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-10DA7813,CTL-0149,SuanFarma SA,Companhia Industrial Produtora de Antibioticos SA,SuanFarma SA,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-CCCD93A7,CTL-0101,Summit Therapeutics Inc,Discuva Ltd,Summit Therapeutics Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-38D7BC64,CTL-0186,Swedbank Robur Fonder AB,Camurus AB,Swedbank Robur Fonder AB,2015,Ineligible transaction,Ineligible,False
EVT-75B16DAD,CTL-0015,Sygnature Discovery Ltd,Alderley Oncology,Sygnature Discovery Ltd,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-354180E3,CTL-0087,Takeda Pharmaceutical Co Ltd,Shire Pharmaceuticals International UC,Takeda Pharmaceutical Co Ltd,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-8BFF2218,TRT-0011,Takeda Pharmaceutical Co Ltd,TiGenix NV,Takeda Pharmaceutical Co Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-1DFF8542,CTL-0194,Tarrex Biopharma Ltd,Aranda Pharma Ltd,Tarrex Biopharma Ltd,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-B640F68D,CTL-0047,Tekni-Plex Inc,Lameplast SpA,Tekni-Plex Inc,2019,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-1946757E,TRT-0009,Telix Pharmaceuticals Ltd,ATLAB Pharma SAS,Telix Pharmaceuticals Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4BD02EB4,CTL-0103,Tempest Therapeutics Inc,Alize Pharma,Tempest Therapeutics Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-D98D3B15,CTL-0168,Texcell SA,vivo Science GmbH,Texcell SA,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-75D448A5,CTL-0222,The Foundation for Baltic and East European Studies,Axelar AB (Inactive),The Foundation for Baltic and East European Studies,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-F635769F,CTL-0283,The Medicines Co,ProFibrix BV,The Medicines Co,2013,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-D7305F4C,CTL-0132,Thermo Fisher Scientific Inc,Patheon NV,Thermo Fisher Scientific Inc,2017,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-AED1C91A,TRT-0031,TiGenix NV,Coretherapix SLU,TiGenix NV,2015,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-830D4EF9,TRT-0002,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",Towa Pharmaceutical Co Ltd,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-53D9AED9,CTL-0007,Travere Therapeutics Inc,Orphan Technologies Ltd,Travere Therapeutics Inc,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-632A21A3,TRT-0005,TriNetX LLC,Custodix NV,TriNetX LLC,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F32E3250,CTL-0005,UCB SA,Handl Therapeutics,UCB SA,2020,High-confidence innovation-driven,Strict (100%),False
EVT-CFB6BB05,CTL-0105,Undisclosed,BioArctic AB,Undisclosed,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-3C64E2EB,CTL-0179,Undisclosed,BioDan Sciences SL,Undisclosed,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-227CF5A8,CTL-0192,Undisclosed,Biomax SA,Undisclosed,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-66BF3C44,CTL-0155,Undisclosed,Bosnalijek dd,Undisclosed,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-038B4B81,CTL-0224,Undisclosed,Dem Ilac San ve Tic AS,Undisclosed,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-A70207E3,CTL-0052,Undisclosed,Genovis AB,Undisclosed,2019,Insufficient evidence (not data-carrying),Ineligible,False
EVT-95447FFB,CTL-0218,Undisclosed,Kibion AB,Undisclosed,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-627D6CE3,CTL-0111,Undisclosed,Xspray Pharma AB,Undisclosed,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-09A71A9A,CTL-0212,Unimedic AB,Miwana AB,Unimedic AB,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-3916D85E,CTL-0302,Upsher-Smith Laboratories LLC,Proximagen Group Ltd (Inactive),Upsher-Smith Laboratories LLC,2012,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-FB4925D1,CTL-0096,USV Pvt Ltd,Juta Pharma GmbH,USV Pvt Ltd,2018,Alternative-rationale,Strict (100%),False
EVT-65D701BB,CTL-0107,Vaxart Inc,Vaxart Inc; Vaxart Inc,Vaxart Inc,2018,Mixed / borderline,"Broader (merger, surviving entity)",False
EVT-57D34A29,CTL-0210,"VBC Holdings, LLC",VivaBioCell SpA,"VBC Holdings, LLC",2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-D66A04CB,TRT-0025,Vectura Group Ltd,SkyePharma Ltd; Vectura Group Ltd,Vectura,2016,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-8CEFCEA5,TRT-0024,Vectura Group Limited,Skyepharma PLC,Vectura,2016,Mixed / borderline,Strict (100%),False
EVT-366076A1,CTL-0263;CTL-0264,Vectura Group Ltd,Vectura GmbH,Vectura,2014,High-confidence innovation-driven,Strict (100%),False
EVT-A5696C48,CTL-0002,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),VERAXA Biotech GmbH,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-61AF12F1,CTL-0177,Viatris Inc,Meda AB,Viatris Inc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-585D064B,CTL-0114,Vir Biotechnology Inc,Humabs BioMed SA,Vir Biotechnology Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F2A3D591,CTL-0276,Xenetic Biosciences Inc,Xenetic Biosciences (UK) Ltd,Xenetic Biosciences Inc,2013,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,2015,Alternative-rationale,Broader (majority control-transfer),False
EVT-A208BBB7,CTL-0055,Zentiva Group AS,Creo Pharma Ltd (Inactive),Zentiva,2019,Alternative-rationale,Strict (100%),False
EVT-7AADF525,CTL-0038,Zentiva Group AS,LaborMed Pharma SA,Zentiva,2020,Alternative-rationale,Strict (100%),False
EVT-E3ED03D0,CTL-0244,Zogenix Inc (Inactive),Zogenix International Ltd,Zogenix Inc (Inactive),2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-13375587,CTL-0294,,Angelini Pharma SpA; Alcavis HDC LLC,,2013,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-3E5A4817,CTL-0142,,Arlenda sa; PharmaLex GmbH,,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-4D1E6674,CTL-0010,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",,2020,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-09B68014,CTL-0037,,Cato Research LLC (Inactive); Specialized Medical Services-oncology BV (Inactive),,2019,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-C77C8AB1,CTL-0128,,Clinica Baviera SA,,2017,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-68B29D73,CTL-0133,,Complya Consulting Group; PharmaLex GmbH,,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-A8A6466A,CTL-0070,,Fina Biotech SL; Biofina Diagnostics S.L.,,2018,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-622B6C2D,CTL-0153,,Hocoma Ag; DIH International,,2016,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-43600ABA,CTL-0291,,"Isotechnika Pharma, Inc.; Aurinia Pharmaceuticals, Inc.",,2013,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-963A2796,CTL-0159,,Jacobsen Pharma Consultancy AS; PharmaLex GmbH,,2016,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-93315BAF,CTL-0143,,Mosaic Biomedicals SL; Northern Biologics Inc,,2016,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-C0499F04,CTL-0125,,PharmaLex GmbH; McGee Pharma International,,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-E9C1057A,CTL-0131,,PharmaLex GmbH; Nordic Health Economics AB,,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
